Name,Gaussian Noise,PSNR,SSIM
01.png,10,36.11906197,0.928794354
02.png,10,36.74885877,0.923896116
03.png,10,34.70727157,0.930246419
04.png,10,33.30214815,0.928895704
05.png,10,34.21799127,0.956106438
06.png,10,35.37811615,0.92870351
07.png,10,33.56766975,0.928523475
08.png,10,34.91881288,0.940864778
09.png,10,33.87203147,0.887202898
10.png,10,33.97072443,0.907679343
11.png,10,34.02022164,0.90743954
01.png,15,31.81611169,0.894752137
02.png,15,34.83723361,0.89009996
03.png,15,32.75590469,0.909341718
04.png,15,31.1650064,0.896365648
05.png,15,33.89986396,0.936864879
06.png,15,31.09735108,0.902745643
07.png,15,33.41461338,0.897670616
08.png,15,33.09882453,0.922695164
09.png,15,32.1023451,0.853624109
10.png,15,31.89471356,0.86631136
11.png,15,32.12083722,0.874946274
01.png,20,34.44900136,0.868138304
02.png,20,33.6969641,0.873065338
03.png,20,31.31525403,0.889567055
04.png,20,31.68292902,0.869124803
05.png,20,30.42306583,0.919465527
06.png,20,29.51505861,0.879858743
07.png,20,29.90788812,0.872762206
08.png,20,31.77623425,0.90412361
09.png,20,30.83981896,0.825684911
10.png,20,30.53999847,0.830974698
11.png,20,30.77912731,0.845446756
01.png,25,31.37664485,0.847976281
02.png,25,32.9650984,0.862059811
03.png,25,31.17653747,0.872827687
04.png,25,28.50503211,0.845509626
05.png,25,29.33937536,0.901117886
06.png,25,28.35045329,0.855953793
07.png,25,28.98639733,0.854215755
08.png,25,30.65658971,0.883525135
09.png,25,29.8855506,0.800388324
10.png,25,29.56490335,0.802132909
11.png,25,29.71698016,0.817098419
01.png,30,30.58565998,0.827079425
02.png,30,32.27882917,0.849576769
03.png,30,31.39700814,0.855009623
04.png,30,27.52408393,0.819297082
05.png,30,28.27107296,0.878039572
06.png,30,27.50126231,0.839653123
07.png,30,28.04721376,0.836000774
08.png,30,29.80105667,0.864306487
09.png,30,29.03362229,0.776551916
10.png,30,28.85049864,0.777071703
11.png,30,28.87059968,0.79209369
01.png,35,30.89586272,0.807455871
02.png,35,31.40125985,0.840411449
03.png,35,29.49420082,0.834134113
04.png,35,26.90689676,0.801800445
05.png,35,27.52742815,0.865317437
06.png,35,26.9017673,0.824372158
07.png,35,27.35615116,0.818838313
08.png,35,28.91467503,0.843675152
09.png,35,28.33725072,0.755688169
10.png,35,28.21951338,0.756097233
11.png,35,28.10297619,0.766785385
01.png,40,32.10006068,0.79323634
02.png,40,27.74825945,0.829873531
03.png,40,29.73677769,0.81719286
04.png,40,29.97979068,0.777715258
05.png,40,26.89092023,0.852226229
06.png,40,26.11217992,0.803269348
07.png,40,26.65915214,0.805119261
08.png,40,27.98794527,0.81739457
09.png,40,27.63205322,0.732693071
10.png,40,27.60258473,0.73503113
11.png,40,27.39852599,0.742061708
01.png,45,28.58380238,0.785212961
02.png,45,30.32161293,0.826862373
03.png,45,29.08050371,0.803017643
04.png,45,25.44637832,0.756589418
05.png,45,26.16078719,0.83098377
06.png,45,25.53801881,0.790164887
07.png,45,26.33138992,0.796886946
08.png,45,27.76590898,0.81142665
09.png,45,27.16858542,0.714164562
10.png,45,27.19998027,0.715823051
11.png,45,26.89962583,0.722215217
01.png,50,28.28114322,0.778593481
02.png,50,29.64684328,0.815353801
03.png,50,28.50679656,0.784631262
04.png,50,24.91651164,0.73671225
05.png,50,25.61905396,0.816199311
06.png,50,25.10789326,0.776094729
07.png,50,25.74469455,0.780373118
08.png,50,27.22235118,0.793202511
09.png,50,26.63813845,0.698113595
10.png,50,26.79183199,0.704388708
11.png,50,26.50214559,0.706305226
01.png,55,27.68425799,0.767086778
02.png,55,29.36811264,0.809751469
03.png,55,28.05536309,0.775590079
04.png,55,24.45548787,0.71730645
05.png,55,25.31227847,0.806396691
06.png,55,24.76144684,0.766720902
07.png,55,25.36914353,0.771193264
08.png,55,26.77002096,0.775443852
09.png,55,26.37492725,0.687588289
10.png,55,26.46475499,0.688712473
11.png,55,25.97121077,0.681564089
01.png,60,27.15574283,0.749026835
02.png,60,28.84487552,0.798028122
03.png,60,27.84957278,0.765981924
04.png,60,24.08358302,0.704942529
05.png,60,24.89204316,0.791858321
06.png,60,24.32199303,0.751388858
07.png,60,25.12199037,0.764193319
08.png,60,26.33087278,0.755266026
09.png,60,25.9582294,0.672001514
10.png,60,26.10224385,0.677279004
11.png,60,25.69177985,0.670242492
01.png,65,27.02358175,0.739571408
02.png,65,28.21672463,0.787396166
03.png,65,27.41797997,0.751936916
04.png,65,23.63557375,0.688611704
05.png,65,24.51872631,0.783990868
06.png,65,24.02997565,0.741191129
07.png,65,24.72812543,0.757272963
08.png,65,25.94703333,0.738974238
09.png,65,25.5997604,0.657930765
10.png,65,25.85323659,0.665554178
11.png,65,25.26064176,0.652112077
01.png,70,26.66652294,0.735672842
02.png,70,27.84460914,0.779001419
03.png,70,26.11687995,0.743945097
04.png,70,23.45294486,0.67635364
05.png,70,24.14007579,0.76155212
06.png,70,23.70911028,0.725796573
07.png,70,24.46362657,0.744764741
08.png,70,25.39502004,0.721135292
09.png,70,25.30025465,0.646339855
10.png,70,25.55927395,0.652543949
11.png,70,25.00533549,0.639549374
