ImageName,Gaussian Noise,PSNR,SSIM
01.png,10,26.61732641,0.766239702
02.png,10,31.75436654,0.783740994
03.png,10,30.53191064,0.852842109
04.png,10,29.08284674,0.859671655
05.png,10,29.68398115,0.878423827
06.png,10,27.04716428,0.809105303
07.png,10,27.80339704,0.807407667
08.png,10,24.9102313,0.736889504
09.png,10,29.4366539,0.778225062
10.png,10,30.2824551,0.811054377
11.png,10,29.14753887,0.794419126
01.png,15,25.96275734,0.685236038
02.png,15,29.72739442,0.693280317
03.png,15,28.89054072,0.781174778
04.png,15,27.69876555,0.800952684
05.png,15,28.15099065,0.812103126
06.png,15,26.22145913,0.734520601
07.png,15,26.7622191,0.727005303
08.png,15,24.40730393,0.671140662
09.png,15,28.18322933,0.71214567
10.png,15,28.80430867,0.736984424
11.png,15,27.93338288,0.727668655
01.png,20,25.10381764,0.606566295
02.png,20,27.9367525,0.605552225
03.png,20,27.44542741,0.71357234
04.png,20,26.42628435,0.739353134
05.png,20,26.7244403,0.748208313
06.png,20,25.30915666,0.660811032
07.png,20,25.83170143,0.653882699
08.png,20,23.85300036,0.604940401
09.png,20,26.95361948,0.644218
10.png,20,27.38154926,0.66124692
11.png,20,26.72081121,0.658214376
01.png,25,24.23442245,0.538448845
02.png,25,26.44822678,0.533976492
03.png,25,25.99592638,0.643505893
04.png,25,25.35830682,0.686693613
05.png,25,25.46707019,0.687917188
06.png,25,24.43533601,0.596058993
07.png,25,24.87634278,0.591622658
08.png,25,23.2263842,0.544312033
09.png,25,25.75794055,0.578817461
10.png,25,26.12341456,0.593467888
11.png,25,25.57629926,0.595236845
01.png,30,23.42226598,0.477183189
02.png,30,25.18417864,0.470646746
03.png,30,24.77497227,0.58105188
04.png,30,24.2427284,0.633196723
05.png,30,24.34314842,0.631765754
06.png,30,23.570502,0.5380441
07.png,30,23.79400944,0.528576372
08.png,30,22.55601842,0.488563411
09.png,30,24.66344611,0.521030168
10.png,30,24.96268347,0.531398468
11.png,30,24.52448605,0.539491196
01.png,35,22.67865935,0.431904658
02.png,35,24.10168071,0.420872068
03.png,35,23.73664177,0.532947027
04.png,35,23.43310015,0.59049194
05.png,35,23.29668944,0.584492785
06.png,35,22.68521699,0.487521955
07.png,35,23.08234245,0.48903718
08.png,35,21.96921579,0.445345883
09.png,35,23.65327466,0.469615358
10.png,35,23.87592807,0.475147979
11.png,35,23.558592,0.488032049
01.png,40,21.94545586,0.393771331
02.png,40,23.00821351,0.375215173
03.png,40,22.78982122,0.483568197
04.png,40,22.39182286,0.539520087
05.png,40,22.44387707,0.544139077
06.png,40,21.94369323,0.448045806
07.png,40,22.12960969,0.440185699
08.png,40,21.31980694,0.404090874
09.png,40,22.7354611,0.425726384
10.png,40,22.95820053,0.430769303
11.png,40,22.61811312,0.441901361
01.png,45,21.24140469,0.357796747
02.png,45,22.10206731,0.338074096
03.png,45,21.9164899,0.446445765
04.png,45,21.70908545,0.507663294
05.png,45,21.57225868,0.505345711
06.png,45,21.12046221,0.411759295
07.png,45,21.43113759,0.410648397
08.png,45,20.73446017,0.367649709
09.png,45,21.96665983,0.391575742
10.png,45,22.04819207,0.388965834
11.png,45,21.86279303,0.404957934
01.png,50,20.60753207,0.32818326
02.png,50,21.27820611,0.306784355
03.png,50,21.19257951,0.412159744
04.png,50,20.92920994,0.469119487
05.png,50,20.79402349,0.471405146
06.png,50,20.50582372,0.382405141
07.png,50,20.69910622,0.375276813
08.png,50,20.12553444,0.337602349
09.png,50,21.14835587,0.35649028
10.png,50,21.29420082,0.351778659
11.png,50,21.12402271,0.372265644
01.png,55,19.92379321,0.304425322
02.png,55,20.61373733,0.282828871
03.png,55,20.32810923,0.375629712
04.png,55,20.25904024,0.435953548
05.png,55,20.14611733,0.440841337
06.png,55,19.84787001,0.351135645
07.png,55,20.03190644,0.349162601
08.png,55,19.5502713,0.308803186
09.png,55,20.40308254,0.323885959
10.png,55,20.54128092,0.320468716
11.png,55,20.40512913,0.340571153
01.png,60,19.3252051,0.279847674
02.png,60,19.87611245,0.261551697
03.png,60,19.6899216,0.350067872
04.png,60,19.67172995,0.41339544
05.png,60,19.60768369,0.423113854
06.png,60,19.3706882,0.333805106
07.png,60,19.48505823,0.330614711
08.png,60,19.05918592,0.286898451
09.png,60,19.79962275,0.298565111
10.png,60,19.85762947,0.291960014
11.png,60,19.75808331,0.313037213
01.png,65,18.79576344,0.262230665
02.png,65,19.27984121,0.240665375
03.png,65,19.21139221,0.337280324
04.png,65,19.05574677,0.390171773
05.png,65,18.87128577,0.388140956
06.png,65,18.73648896,0.308926952
07.png,65,18.86104982,0.307951224
08.png,65,18.55370628,0.26360087
09.png,65,19.17126434,0.276663361
10.png,65,19.30338313,0.271712998
11.png,65,19.13325798,0.286575088
01.png,70,18.28024653,0.246376957
02.png,70,18.71826753,0.221062658
03.png,70,18.57493602,0.306395966
04.png,70,18.47204498,0.364450996
05.png,70,18.45014018,0.37557896
06.png,70,18.33940769,0.298458239
07.png,70,18.5160031,0.293170503
08.png,70,18.09257335,0.249888049
09.png,70,18.66314133,0.256135529
10.png,70,18.67472808,0.248716598
11.png,70,18.55552464,0.266551728
